step,metric,value
114,learning_rate,0.00037794432548179875
114,mean_token_accuracy,0.5381677895784378
114,epoch,0.243785084202085
115,loss,2.0244
115,grad_norm,0.6248567700386047
115,learning_rate,0.0003768736616702356
115,mean_token_accuracy,0.5291014648973942
115,epoch,0.24592354985298048
116,loss,1.9402
116,grad_norm,0.46209925413131714
116,learning_rate,0.0003758029978586724
116,mean_token_accuracy,0.5428912043571472
116,epoch,0.24806201550387597
117,loss,1.9598
117,grad_norm,0.5066143870353699
117,learning_rate,0.0003747323340471092
117,mean_token_accuracy,0.5455336198210716
117,epoch,0.25020048115477145
118,loss,1.9734
118,grad_norm,0.5297421216964722
118,learning_rate,0.00037366167023554606
118,mean_token_accuracy,0.5366983786225319
118,epoch,0.25233894680566693
119,loss,2.061
119,grad_norm,0.5033749938011169
119,learning_rate,0.00037259100642398284
119,mean_token_accuracy,0.5205242075026035
119,epoch,0.2544774124565624
120,loss,2.0171
120,grad_norm,0.5608193278312683
120,learning_rate,0.0003715203426124197
120,mean_token_accuracy,0.5396891161799431
120,epoch,0.2566158781074579
121,loss,1.8783
121,grad_norm,0.5050201416015625
121,learning_rate,0.0003704496788008566
121,mean_token_accuracy,0.5645300596952438
121,epoch,0.2587543437583534
122,loss,1.9715
122,grad_norm,0.5208900570869446
122,learning_rate,0.00036937901498929336
122,mean_token_accuracy,0.5432270839810371
122,epoch,0.26089280940924886
123,loss,1.9503
123,grad_norm,0.5963794589042664
123,learning_rate,0.0003683083511777302
123,mean_token_accuracy,0.5442855358123779
123,epoch,0.26303127506014434
124,loss,2.0472
124,grad_norm,0.4705224931240082
124,learning_rate,0.00036723768736616704
124,mean_token_accuracy,0.5233161002397537
124,epoch,0.2651697407110398
125,loss,1.9432
125,grad_norm,0.4840233027935028
125,learning_rate,0.00036616702355460383
125,mean_token_accuracy,0.5454750135540962
125,epoch,0.2673082063619353
126,loss,1.9596
126,grad_norm,2.6909470558166504
126,learning_rate,0.00036509635974304067
126,mean_token_accuracy,0.5397820509970188
126,epoch,0.2694466720128308
127,loss,1.9524
127,grad_norm,0.7348751425743103
127,learning_rate,0.0003640256959314775
127,mean_token_accuracy,0.5412473604083061
127,epoch,0.2715851376637263
128,loss,2.0201
128,grad_norm,0.8458889722824097
128,learning_rate,0.00036295503211991435
128,mean_token_accuracy,0.5344625115394592
128,epoch,0.27372360331462176
129,loss,1.9184
129,grad_norm,0.6104605197906494
129,learning_rate,0.0003618843683083512
129,mean_token_accuracy,0.5496850609779358
129,epoch,0.27586206896551724
130,loss,1.9933
130,grad_norm,0.6568020582199097
130,learning_rate,0.00036081370449678803
130,mean_token_accuracy,0.5333287194371223
130,epoch,0.2780005346164127
131,loss,2.0297
131,grad_norm,0.5430261492729187
131,learning_rate,0.0003597430406852248
131,mean_token_accuracy,0.5278784334659576
131,epoch,0.2801390002673082
132,loss,2.0276
132,grad_norm,0.54534512758255
132,learning_rate,0.00035867237687366166
132,mean_token_accuracy,0.5302748829126358
132,epoch,0.2822774659182037
133,loss,1.9149
133,grad_norm,0.5917580723762512
133,learning_rate,0.0003576017130620985
133,mean_token_accuracy,0.5531040355563164
133,epoch,0.28441593156909917
134,loss,2.024
134,grad_norm,0.5817563533782959
134,learning_rate,0.0003565310492505354
134,mean_token_accuracy,0.5306424349546432
134,epoch,0.28655439721999465
135,loss,2.0354
135,grad_norm,0.5786663293838501
135,learning_rate,0.0003554603854389722
135,mean_token_accuracy,0.5271524414420128
135,epoch,0.28869286287089013
136,loss,1.9524
136,grad_norm,0.5830125212669373
136,learning_rate,0.000354389721627409
136,mean_token_accuracy,0.5381960943341255
136,epoch,0.2908313285217856
137,loss,1.8799
137,grad_norm,0.6913197040557861
137,learning_rate,0.00035331905781584586
137,mean_token_accuracy,0.5616606622934341
137,epoch,0.2929697941726811
138,loss,1.9327
138,grad_norm,0.6949735879898071
138,learning_rate,0.00035224839400428264
138,mean_token_accuracy,0.5423181243240833
138,epoch,0.2951082598235766
139,loss,1.9996
139,grad_norm,0.6325358748435974
139,learning_rate,0.0003511777301927195
139,mean_token_accuracy,0.5280861258506775
139,epoch,0.29724672547447206
140,loss,1.9681
140,grad_norm,0.761868953704834
140,learning_rate,0.0003501070663811563
140,mean_token_accuracy,0.54066401720047
140,epoch,0.29938519112536754
141,loss,2.012
141,grad_norm,0.825068473815918
